year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.946,202,191,Europe and Central Asia,C010,14.5,19.3,19.99791657,4199070.307,32.48282651,134.9381383,66.91550149,21.3,463.1,0.022,0.00024,2.209,69.5,52,53.63758214,27.02450635,97.1161721,3.411449582
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.07,91,6,Europe and Central Asia,C011,4.1,8.2,7.721134505,26332000,16.59399514,136.1599586,73.29,19.3,728.7,0.0285,0.157,1.238,167.6,48,53.63758214,17,97.55802351,6.7
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.07,59,4,Europe and Central Asia,C011,5.4,9.7,7.606114523,27166000,17.42986354,136.30338,73.384,18.7,718,0.0236,0.0911,1.048,157.1,51,53.63758214,18,96.98659494,6.68
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.08,60,5,Europe and Central Asia,C011,5.1,9.6,7.201730272,29604000,17.76703771,136.589289,73.477,16.8,555.4,0.0138,0.0958,1.139,139.7,56,53.63758214,19.1,96.55802351,6.67
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.07,57,4,Europe and Central Asia,C011,4.7,9,7.11495939,32519000,18.12168272,136.8518586,73.57,16.6,719.2,0.0218,0.0885,1.493,166.4,55,53.63758214,18.1,94.98659494,6.66
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.16,55,9,Europe and Central Asia,C011,4.5,8.9,7.391612164,34701000,15.95528363,137.2158788,73.675,16.5,704.4,0.0222,0.0984,0.776,176.5,57,53.63758214,18.5,93.55802351,6.63
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.21,91,19,Europe and Central Asia,C011,5.2,9.8,7.484474294,36268000,15.46120294,137.6755343,73.792,17.7,556.4,0.0124,0.085,2.119,129.9,59,53.63758214,18.6,93.55802351,6.62
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.32,95,30,Europe and Central Asia,C011,5.1,9.8,7.385227869,37202000,15.33059693,138.2268103,73.921,13.4,615,0.0176,0.0611,1.524,154.6,56,53.63758214,18.80141289,93.8437378,6.62
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.33,82,27,Europe and Central Asia,C011,5.1,9.6,8.980351782,37202000,12.583318,138.5759288,74.061,12.8,712.3,0.0246,0.0741,1.668,157,54,53.63758214,18.99914548,94.12945208,6.62
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.066,121,8,Europe and Central Asia,C017,5.2,9.4,10.86672294,30411000,24.56152126,230.7506255,77.17,13,704.2,0.0253,0.183,1.22,186.3,79,53.63758214,15.7,92.70088066,8.34
